geo,name,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
cog,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66667,,,,,2.8,,,,,3.86667,,,,,4.73333,,,,,7.66667,,,,,10.13333,,,,,16.33333,,,,,21.6,,,,,29.26667,30,31.33333,32,33.33333,34,34.66667,35.33333,36,36.66667,36.66667,37.33333,38,38,38.66667,38.66667,39.33333,39.33333,40,40,40.66667,41.33333,41.33333,42,42,42,42,42
col,Colombia,1.73333,,,,,2,,,,,2.26667,,,,,2.6,,,,,3,,,,,3.33333,,,,,4.93333,,,,,6.2,,,,,7.33333,,,,,8.8,,,,,10.06667,,,,,11.53333,,,,,12.6,,,,,13.93333,,,,,14.8,,,,,15.86667,,,,,14.93333,,,,,16.8,,,,,18.53333,,,,,20.53333,,,,,22.53333,,,,,25.73333,,,,,28.4,,,,,31.93333,,,,,36.4,37.33333,38,38.66667,40,40.66667,41.33333,42,42,42.66667,43.33333,43.33333,43.33333,43.33333,44,45.33333,44.66667,48,48.66667,48.66667,49.33333,50,50.66667,52,53.33333,54,55.33333,55.33333
com,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.66667,20.66667,22,23.33333,24.66667,26,28,29.33333,30.66667,31.33333,32,32,32,32
cpv,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.33333,24.66667,25.33333,26.66667,28,28.66667,30,30.66667,32,33.33333,34,35.33333,36,37.33333,38.66667,39.33333,40.66667,40.66667
cri,Costa Rica,1.53333,,,,,1.93333,,,,,2.33333,,,,,2.8,,,,,3.6,,,,,4.4,,,,,8.06667,,,,,11.13333,,,,,13.53333,,,,,16.2,,,,,18.26667,,,,,20.06667,,,,,21.4,,,,,22.66667,,,,,23.2,,,,,23.93333,,,,,23.4,,,,,23.66667,,,,,24.6,,,,,25.66667,,,,,24.13333,,,,,29.93333,,,,,35.4,,,,,40.26667,,,,,44.8,46.66667,47.33333,48,48.66667,49.33333,50,51.33333,52,52.66667,53.33333,53.33333,53.33333,52.66667,52.66667,52.66667,52.66667,54,56,56,55.33333,56,56.66667,56.66667,57.33333,58.66667,58.66667,58.66667
cub,Cuba,0.53333,,,,,0.73333,,,,,0.93333,,,,,1.2,,,,,1.53333,,,,,1.93333,,,,,2.53333,,,,,5.93333,,,,,8.33333,,,,,10.73333,,,,,13.66667,,,,,16,,,,,18.46667,,,,,20.33333,,,,,21.93333,,,,,22.86667,,,,,22.93333,,,,,23.86667,,,,,25.66667,,,,,28.8,,,,,32.2,,,,,37.26667,,,,,40.13333,,,,,46.6,,,,,51.6,57.33333,58.66667,59.33333,60.66667,61.33333,62,62.66667,63.33333,64,64,64.66667,63.33333,65.33333,65.33333,66,67.33333,69.33333,70.66667,72,73.33333,75.33333,72,73.33333,74.66667,76,77.33333,78.66667
cyp,Cyprus,1.46667,,,,,1.73333,,,,,2.13333,,,,,2.53333,,,,,3.06667,,,,,3.66667,,,,,4.6,,,,,5.4,,,,,6.13333,,,,,8.53333,,,,,10.46667,,,,,12.2,,,,,13.53333,,,,,14.8,,,,,15.8,,,,,17.93333,,,,,20.66667,,,,,24.66667,,,,,29.13333,,,,,31.6,,,,,33.86667,,,,,39.6,,,,,44.8,,,,,51.26667,,,,,58,58.66667,59.33333,60,60.66667,61.33333,62.66667,63.33333,64.66667,65.33333,66.66667,67.33333,68,69.33333,70,71.33333,72.66667,74.66667,75.33333,75.33333,76.66667,77.33333,78.66667,80,79.33333,79.33333,80.66667,80.66667
cze,Czech Republic,20.33333,,,,,20.53333,,,,,21.26667,,,,,22,,,,,22.73333,,,,,23.53333,,,,,24.33333,,,,,25.06667,,,,,27.33333,,,,,29.2,,,,,30.93333,,,,,33.8,,,,,36.33333,,,,,38.8,,,,,40.53333,,,,,42.73333,,,,,53.8,,,,,54.8,,,,,53.86667,,,,,59.2,,,,,63.73333,,,,,65.66667,,,,,68.2,,,,,69.73333,,,,,72.53333,56,57.33333,59.33333,60.66667,62.66667,64,66,67.33333,69.33333,70.66667,72.66667,74,76,77.33333,79.33333,80.66667,81.33333,81.33333,82,82.66667,83.33333,82.66667,84,85.33333,84.66667,84.66667,84.66667
deu,Germany,13,,,,,14.4,,,,,15.8,,,,,17.4,,,,,18.93333,,,,,20.4,,,,,21.86667,,,,,23.2,,,,,24.26667,,,,,25.06667,,,,,29.2,,,,,32.86667,,,,,36.53333,,,,,39.86667,,,,,42.86667,,,,,44.66667,,,,,44.73333,,,,,49.8,,,,,50.2,,,,,51.2,,,,,51.4,,,,,50.53333,,,,,50.86667,,,,,50.33333,,,,,58.46667,59.33333,60.66667,62,63.33333,64.66667,65.33333,66.66667,68,68.66667,74.66667,78,80.66667,83.33333,86,88.66667,90.66667,91.33333,91.33333,92,92,92.66667,93.33333,93.33333,93.33333,94,94,94
dji,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.66667,18.66667,19.33333,20,20.66667,21.33333,22,22.66667,23.33333,24,24.66667,25.33333,26,26,26,26.66667,26.66667,26.66667,26.66667,27.33333,27.33333,27.33333,27.33333
dma,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52.66667,52.66667,52.66667,52.66667,52,52
dnk,Denmark,15.93333,,,,,16.33333,,,,,16.66667,,,,,17,,,,,17.4,,,,,17.86667,,,,,18.4,,,,,18.86667,,,,,19.33333,,,,,21,,,,,22.93333,,,,,25.2,,,,,27.46667,,,,,30.13333,,,,,32.6,,,,,35,,,,,35.93333,,,,,27.93333,,,,,30.4,,,,,33.4,,,,,38.6,,,,,43,,,,,48.73333,,,,,53.46667,,,,,59.73333,61.33333,62,63.33333,64.66667,66,67.33333,68,69.33333,70.66667,71.33333,76,80.66667,85.33333,85.33333,85.33333,85.33333,83.33333,86,84.66667,84.66667,84.66667,85.33333,88,85.33333,83.33333,84,84
dom,Dominican Republic,0.2,,,,,0.33333,,,,,0.53333,,,,,0.8,,,,,1.06667,,,,,1.4,,,,,1.6,,,,,1.8,,,,,5.6,,,,,8.13333,,,,,10.53333,,,,,12.33333,,,,,13.66667,,,,,14.73333,,,,,15.26667,,,,,16,,,,,16,,,,,16.06667,,,,,16.06667,,,,,17.46667,,,,,20.26667,,,,,23,,,,,26.46667,,,,,30.06667,,,,,34.26667,34,35.33333,36.66667,38,38.66667,40,40.66667,41.33333,42,42.66667,43.33333,44.66667,45.33333,46,46.66667,47.33333,48,48,48,48.66667,49.33333,50,50.66667,52,52,52,52
dza,Algeria,0.53333,,,,,0.6,,,,,0.8,,,,,1,,,,,1.2,,,,,1.46667,,,,,1.66667,,,,,2.8,,,,,3.6,,,,,4.4,,,,,4.93333,,,,,5.46667,,,,,5.73333,,,,,6,,,,,6.06667,,,,,6,,,,,6,,,,,6,,,,,4.8,,,,,4.26667,,,,,5.2,,,,,7.86667,,,,,11.46667,,,,,16.73333,,,,,22.53333,25.33333,26.66667,28.66667,30,31.33333,33.33333,34.66667,36,38,39.33333,40.66667,42,43.33333,44.66667,46,46.66667,48,44.66667,46,47.33333,49.33333,50.66667,52,52.66667,52.66667,53.33333,53.33333
ecu,Ecuador,0.86667,,,,,1.13333,,,,,1.4,,,,,1.73333,,,,,2.13333,,,,,2.66667,,,,,4.6,,,,,5.93333,,,,,7.2,,,,,8.73333,,,,,10,,,,,11.33333,,,,,12.46667,,,,,13.6,,,,,14.2,,,,,15.2,,,,,15.86667,,,,,17.46667,,,,,19.8,,,,,22.93333,,,,,25.8,,,,,28.46667,,,,,35.93333,,,,,39,,,,,42.93333,44.66667,44.66667,45.33333,46,46,46,46,46,46,46.66667,46.66667,47.33333,47.33333,48,48.66667,48.66667,48.66667,52.66667,52.66667,52.66667,53.33333,54,55.33333,56.66667,56,58,58
egy,Egypt,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.2,,,,,0.26667,,,,,0.4,,,,,0.53333,,,,,0.66667,,,,,0.86667,,,,,1.2,,,,,1.53333,,,,,1.8,,,,,2,,,,,2.53333,,,,,2.93333,,,,,3.26667,,,,,3.66667,,,,,4.6,,,,,5.26667,,,,,6.86667,,,,,8.66667,,,,,13.73333,,,,,19.8,,,,,23.4,24,24.66667,25.33333,26,26.66667,28,28.66667,30,30.66667,32,32.66667,34,35.33333,36,37.33333,38.66667,40,41.33333,42.66667,43.33333,44.66667,45.33333,46,46.66667,47.33333,48,48
eri,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.66667,24.66667,25.33333,25.33333,25.33333,26,26,26,26,26,26,26,26.66667
esp,Spain,8.33333,,,,,9.4,,,,,11.66667,,,,,14.2,,,,,16.33333,,,,,18.46667,,,,,20.46667,,,,,22.2,,,,,23.46667,,,,,24.06667,,,,,23.2,,,,,22.06667,,,,,21,,,,,20.66667,,,,,20.33333,,,,,21.4,,,,,23.13333,,,,,23,,,,,24.8,,,,,27.2,,,,,28.93333,,,,,34.2,,,,,38.26667,,,,,40.86667,,,,,43.46667,42.66667,44.66667,47.33333,49.33333,51.33333,52.66667,53.33333,54,54.66667,56,56.66667,56.66667,57.33333,57.33333,59.33333,60,60.66667,61.33333,62,62.66667,63.33333,63.33333,63.33333,64.66667,64.66667,65.33333,65.33333
est,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.73333,,,,,42.4,,,,,44,,,,,46.4,,,,,48.33333,,,,,52.53333,,,,,55.46667,,,,,58.93333,,,,,62.06667,63.33333,65.33333,66.66667,68.66667,70,71.33333,73.33333,74.66667,76.66667,78,78.66667,79.33333,79.33333,80,80.66667,81.33333,81.33333,82,82.66667,83.33333,83.33333,83.33333,84,84,84.66667,84,84.66667
eth,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.66667,11.33333,11.33333,12,12.66667,13.33333,14,14.66667,15.33333,15.33333,16,16,16.66667,16.66667,17.33333,18,18
fin,Finland,0.66667,,,,,0.8,,,,,0.93333,,,,,1.13333,,,,,1.4,,,,,1.8,,,,,5.33333,,,,,8.33333,,,,,11.53333,,,,,14.06667,,,,,16.66667,,,,,19.13333,,,,,21.2,,,,,23.26667,,,,,24,,,,,24.73333,,,,,25.46667,,,,,26.2,,,,,26.93333,,,,,31.26667,,,,,36,,,,,42.2,,,,,49.26667,,,,,48.86667,,,,,49.73333,51.33333,52.66667,54.66667,56,57.33333,58.66667,59.33333,60,61.33333,62,62.66667,63.33333,64,79.33333,80,80,80,81.33333,81.33333,82,82,82.66667,82,82.66667,82.66667,82.66667,82.66667
fji,Fiji,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.26667,,,,,0.4,,,,,1.86667,,,,,3.13333,,,,,6.53333,,,,,9,,,,,11.2,,,,,13.73333,,,,,16.46667,,,,,19.73333,,,,,21.86667,,,,,25.66667,,,,,29,,,,,31.2,,,,,34.06667,,,,,39.66667,,,,,45,,,,,55.8,58,59.33333,61.33333,63.33333,65.33333,65.33333,64.66667,64.66667,64,64,63.33333,62.66667,62,62,61.33333,62,62,62.66667,63.33333,64,65.33333,67.33333,68.66667,70,72,72,72
fra,France,4.4,,,,,4.6,,,,,4.86667,,,,,5.93333,,,,,8.33333,,,,,10.8,,,,,13.13333,,,,,15.4,,,,,17.86667,,,,,20.06667,,,,,22.4,,,,,24.2,,,,,25.26667,,,,,26.06667,,,,,27.46667,,,,,28.46667,,,,,28.73333,,,,,29.53333,,,,,27.33333,,,,,29.93333,,,,,33.06667,,,,,36.46667,,,,,39.73333,,,,,44.06667,,,,,48.86667,50,52,54,56,58.66667,60,61.33333,62.66667,64,65.33333,66.66667,67.33333,68,68.66667,69.33333,70.66667,71.33333,71.33333,72,72.66667,72.66667,73.33333,74.66667,76,76.66667,76.66667,76.66667
gab,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86667,,,,,2.93333,,,,,3.46667,,,,,4.4,,,,,6.66667,,,,,9.2,,,,,15.73333,,,,,21.66667,,,,,28.8,30,31.33333,32.66667,33.33333,34.66667,36,37.33333,38.66667,40,41.33333,42,43.33333,44,45.33333,46,46.66667,48,48.66667,49.33333,50.66667,51.33333,52,54,54,54,54.66667,54.66667
gbr,UK,5.33333,,,,,5.93333,,,,,6.53333,,,,,7.06667,,,,,8.33333,,,,,10.26667,,,,,13.06667,,,,,15.73333,,,,,20.2,,,,,24.06667,,,,,27.53333,,,,,30.93333,,,,,33.8,,,,,36.26667,,,,,38.06667,,,,,40.2,,,,,40.73333,,,,,41.86667,,,,,43.26667,,,,,46.53333,,,,,50.26667,,,,,53,,,,,54.2,,,,,55.93333,,,,,59.2,57.33333,62,66.66667,71.33333,76,76,76.66667,76.66667,77.33333,78,78.66667,79.33333,80,80.66667,81.33333,82.66667,84,85.33333,87.33333,88,86.66667,86,84,84.66667,85.33333,86,86
geo,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78.66667,79.33333,80,80,80.66667,80.66667,80.66667,81.33333,81.33333,81.33333,81.33333,83.33333,84,84,84.66667,85.33333,85.33333
gha,Ghana,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.2,,,,,0.26667,,,,,0.73333,,,,,1.06667,,,,,1.33333,,,,,1.6,,,,,1.73333,,,,,2.6,,,,,3.26667,,,,,3.86667,,,,,4.06667,,,,,4.4,,,,,4.73333,,,,,7.8,,,,,12,,,,,16,,,,,20.53333,,,,,26.8,,,,,32.73333,34,34.66667,36,36.66667,38,38.66667,38.66667,39.33333,40,40.66667,41.33333,41.33333,42,42.66667,42.66667,43.33333,43.33333,44,44.66667,44.66667,45.33333,45.33333,46,46,46,47.33333,47.33333
gin,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8.66667,8.66667,8.66667,9.33333,9.33333,9.33333,9.33333,10,10,10,10,10.66667,10.66667,10.66667,10.66667,10.66667,10.66667,10.66667,13.33333,16,17.33333,17.33333,17.33333,17.33333,17.33333
gmb,Gambia,0.26667,,,,,0.33333,,,,,0.4,,,,,0.46667,,,,,0.6,,,,,0.73333,,,,,0.93333,,,,,1.13333,,,,,1.4,,,,,1.46667,,,,,1.53333,,,,,1.6,,,,,1.66667,,,,,1.8,,,,,2,,,,,2.2,,,,,2.2,,,,,2.33333,,,,,2.53333,,,,,2.6,,,,,2.86667,,,,,3.06667,,,,,4.53333,,,,,6.33333,,,,,8.26667,9.33333,10,10.66667,11.33333,12,12,12.66667,12.66667,13.33333,13.33333,14,14,14.66667,15.33333,16,16.66667,16.66667,17.33333,18,18.66667,19.33333,20.66667,21.33333,22,22.66667,22.66667,23.33333
gnb,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.33333,15.33333,15.33333,16,16.66667,17.33333,18,18.66667,18.66667,19.33333,19.33333,20,20
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,36,36,36,36,36,36.66667,36.66667,36.66667,36.66667,36.66667,36.66667,36.66667,36.66667,36.66667
grc,Greece,4.26667,,,,,5.06667,,,,,5.8,,,,,6.6,,,,,7.4,,,,,8.26667,,,,,9.73333,,,,,10.86667,,,,,12.13333,,,,,13.8,,,,,15.2,,,,,17.73333,,,,,19.86667,,,,,22.6,,,,,24.73333,,,,,27.4,,,,,25.33333,,,,,33.6,,,,,45.73333,,,,,40.46667,,,,,40.26667,,,,,41.8,,,,,43.66667,,,,,48.46667,,,,,52.6,52.66667,53.33333,54,54,54.66667,55.33333,55.33333,56,56.66667,57.33333,58.66667,60.66667,62,64,65.33333,66,66.66667,67.33333,67.33333,68.66667,68.66667,68.66667,69.33333,70,70.66667,72,72
grd,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.33333,50.66667,51.33333,52,52.66667,53.33333,54,54.66667,55.33333,56,56,56.66667,57.33333,58,58,58
gtm,Guatemala,1.13333,,,,,1.33333,,,,,1.66667,,,,,2,,,,,2.4,,,,,2.86667,,,,,4.26667,,,,,5.13333,,,,,6,,,,,7.6,,,,,8.66667,,,,,8.4,,,,,8.46667,,,,,8.73333,,,,,8.8,,,,,9,,,,,8.13333,,,,,8.33333,,,,,8.33333,,,,,8.46667,,,,,9,,,,,10.33333,,,,,15.73333,,,,,18.13333,,,,,20.33333,21.33333,22,22,22.66667,23.33333,23.33333,24,24,24,24.66667,25.33333,25.33333,24.66667,24,23.33333,24.66667,26,28.66667,30.66667,32.66667,35.33333,30.66667,31.33333,42.66667,42,43.33333,43.33333
guy,Guyana,1,,,,,1.4,,,,,2,,,,,3.26667,,,,,5.13333,,,,,7,,,,,8.6,,,,,10.13333,,,,,11.93333,,,,,13.2,,,,,15.33333,,,,,17.2,,,,,18.8,,,,,20.2,,,,,21.46667,,,,,22.73333,,,,,27,,,,,29.46667,,,,,30.53333,,,,,31.93333,,,,,33.06667,,,,,35.8,,,,,38.8,,,,,42.06667,,,,,45.13333,46,46.66667,46.66667,47.33333,48,48.66667,49.33333,50,50.66667,51.33333,52,52,52,52.66667,52.66667,52.66667,53.33333,53.33333,53.33333,54,54.66667,55.33333,55.33333,56,56,56,56
hnd,Honduras,1.2,,,,,1.46667,,,,,1.8,,,,,2.26667,,,,,2.73333,,,,,3.33333,,,,,4,,,,,4.73333,,,,,6.2,,,,,7.4,,,,,8.4,,,,,9.2,,,,,9.8,,,,,10.06667,,,,,10.4,,,,,10.6,,,,,10.73333,,,,,11.13333,,,,,11.33333,,,,,11.53333,,,,,12.73333,,,,,13.86667,,,,,19.2,,,,,24.73333,,,,,28.46667,23.33333,24,24.66667,25.33333,26,26,26.66667,27.33333,28,28.66667,29.33333,30,30.66667,30.66667,31.33333,32,33.33333,34,34.66667,36,37.33333,36.66667,38.66667,41.33333,42,43.33333,43.33333
hrv,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.33333,,,,,38.93333,,,,,40.8,,,,,43,,,,,44.93333,,,,,49.4,,,,,52.33333,,,,,55.46667,,,,,57.86667,42,43.33333,45.33333,47.33333,48.66667,52,54.66667,57.33333,60,62.66667,65.33333,65.33333,65.33333,64.66667,64.66667,66,67.33333,68.66667,70.66667,72,73.33333,73.33333,73.33333,74,74.66667,75.33333,75.33333
hti,Haiti,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.73333,,,,,1.2,,,,,1.73333,,,,,2.2,,,,,2.6,,,,,2.86667,,,,,3.06667,,,,,3.26667,,,,,3.33333,,,,,3.53333,,,,,3.73333,,,,,3.93333,,,,,4.4,,,,,5.13333,,,,,6,,,,,7.8,,,,,9.6,,,,,14.66667,,,,,17.93333,18.66667,19.33333,20,20.66667,21.33333,22,22.66667,23.33333,24,25.33333,26,26.66667,27.33333,28,28.66667,29.33333,30,30.66667,31.33333,31.33333,32,32.66667,33.33333,34,34.66667,34.66667,35.33333
